date,region,subregion,cases,deaths
2020-03-19,North-East,TN,68,5
2020-03-19,North-East,BZ,60,5
2020-03-19,North-East,FVG,137,5
2020-03-19,North-East,EMR,689,73
2020-03-19,Centre,MAR,169,23
2020-03-19,Centre,TOS,152,16
2020-03-19,Centre,UMB,87,0
2020-03-19,Centre,LAZ,99,6
2020-03-19,South,ABR,122,4
2020-03-19,South,MOL,18,1
2020-03-19,South,CAM,192,8
2020-03-19,South,BAS,10,0
2020-03-19,South,PUG,95,6
2020-03-19,South,CAL,40,2
2020-03-19,Islands,SIC,58,1
2020-03-19,Islands,SAR,72,0
2020-03-20,North-West,VDA,49,1
2020-03-20,North-West,LIG,162,28
2020-03-20,North-West,PIE,529,34
2020-03-20,North-West,LOM,2380,381
2020-03-20,North-East,VEN,547,16
2020-03-20,North-East,TN,119,1
2020-03-20,North-East,BZ,112,3
2020-03-20,North-East,FVG,57,2
2020-03-20,North-East,EMR,754,109
2020-03-20,Centre,MAR,244,22
2020-03-20,Centre,TOS,311,9
2020-03-20,Centre,UMB,61,5
2020-03-20,Centre,LAZ,185,5
2020-03-20,South,ABR,64,6
2020-03-20,South,MOL,4,3
2020-03-20,South,CAM,97,0
2020-03-20,South,BAS,15,0
2020-03-20,South,PUG,103,1
2020-03-20,South,CAL,38,1
2020-03-20,Islands,SIC,68,0
2020-03-20,Islands,SAR,87,0
2020-03-21,North-West,VDA,49,1
2020-03-21,North-West,LIG,215,33
2020-03-21,North-West,PIE,291,29
2020-03-21,North-West,LOM,3251,546
2020-03-21,North-East,VEN,586,15
2020-03-21,North-East,TN,140,15
2020-03-21,North-East,BZ,73,3
2020-03-21,North-East,FVG,134,4
2020-03-21,North-East,EMR,737,75
2020-03-21,Centre,MAR,172,17
2020-03-21,Centre,TOS,219,25
2020-03-21,Centre,UMB,67,3
2020-03-21,Centre,LAZ,182,7
2020-03-21,South,ABR,80,5
2020-03-21,South,MOL,11,2
2020-03-21,South,CAM,95,5
2020-03-21,South,BAS,14,0
2020-03-21,South,PUG,94,3
2020-03-21,South,CAL,28,1
2020-03-21,Islands,SIC,82,2
2020-03-21,Islands,SAR,37,2
2020-03-22,North-West,VDA,51,1
2020-03-22,North-West,LIG,229,19
2020-03-22,North-West,PIE,668,45
2020-03-22,North-West,LOM,1691,361
2020-03-22,North-East,VEN,505,23
2020-03-22,North-East,TN,172,7
